Product_ID,Segment,Source File,Specific_Category,US_url,IN_url,name,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_discount_pct_calc,US_on_sale,IN_price_current_inr,IN_price_original_inr,IN_price_current_usd,IN_price_original_usd,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,US_detail_selector,US_composition_selector,IN_detail_selector,IN_composition_selector,row_collected_at_local,row_collected_at_utc,fx_rate_live_usd_inr,fx_rate_timestamp_utc
17061177,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/basics/fine-knit-top_17061177,https://shop.mango.com/in/en/p/women/tops/basics/fine-knit-top_17061177,Fine-knit top - Women | MANGO USA,,19.99,45.99,-57,56.53,True,2390.0,,25.54,,,,False,-5.55,"100% linen crop top | Composition: 71% viscose, 29% polyamide","Bangladesh
Dye",text=DETAILS,,text=DETAILS,,2026-04-01T23:40:16.816018-04:00,2026-04-02T03:40:16.816043+00:00,93.59411,2026-04-02T03:38:00+00:00
17081174,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/asymmetrical-strapless-top_17081174,https://shop.mango.com/in/en/p/women/tops/asymmetrical-strapless-top_17081174,Asymmetrical strapless top - Women | MANGO USA,,39.99,69.99,-43,42.86,True,3990.0,,42.66,,,,False,-2.67,"Crafted from a 100% cotton fabric, this top features a fitted and asymmetrical design. Its strapless bandeau style is complemented by side ruching and a side zipper fastening. Ideal for a total look | Composition: 100% cotton | Lining: 100% cotton","China
Dye",text=DETAILS,,text=DETAILS,,2026-04-01T23:42:21.815561-04:00,2026-04-02T03:42:21.815582+00:00,93.53555,2026-04-02T03:41:00+00:00
27024076,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/basics/satin-top-with-straps_27024076,https://shop.mango.com/in/en/p/women/tops/basics/satin-top-with-straps_27024076,Satin top with straps - Women | MANGO USA,,69.99,,,,False,3990.0,,42.67,,,,False,27.32,Composition: 100% polyester | Lining: 100% polyester,"China
Dye",text=DETAILS,,text=DETAILS,,2026-04-01T23:48:35.678006-04:00,2026-04-02T03:48:35.678031+00:00,93.50368,2026-04-02T03:47:00+00:00
27025844,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/basics/ribbed-knitted-top-with-zip_27025844,https://shop.mango.com/in/en/p/women/tops/basics/ribbed-knitted-top-with-zip_27025844,Ribbed knitted top with zip - Women | MANGO USA,,79.99,,,,False,4290.0,,45.88,,,,False,34.11,Composition: 100% cotton,"China
Dye",text=DETAILS,,text=DETAILS,,2026-04-01T23:49:17.076865-04:00,2026-04-02T03:49:17.076902+00:00,93.50368,2026-04-02T03:47:00+00:00
27037158,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/basics/halter-neck-denim-top_27037158,https://shop.mango.com/in/en/p/women/tops/basics/halter-neck-denim-top_27037158,Halter-neck denim top - Women | MANGO USA,,59.99,,,,False,3290.0,,35.23,,,,False,24.76,100% linen crop top | Composition: 100% cotton,"Bangladesh
CARE

Machine washing max",text=DETAILS,,text=DETAILS,,2026-04-01T23:52:04.686501-04:00,2026-04-02T03:52:04.686532+00:00,93.37771,2026-04-02T03:50:00+00:00
27041228,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/shirts---blouses/long-sleeve/slim-fit-poplin-shirt_27041228,https://shop.mango.com/in/en/p/women/shirts---blouses/shirts/slim-fit-poplin-shirt_27041228?c=30,Slim-fit poplin shirt - Women | MANGO USA,,49.99,,,,False,2990.0,,32.03,,,,False,17.96,"Composition: 96% cotton, 4% elastane","Bangladesh
Dye",text=DETAILS,,text=DETAILS,,2026-04-01T23:54:10.017070-04:00,2026-04-02T03:54:10.017099+00:00,93.33668,2026-04-02T03:52:00+00:00
27044044,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/shirts---blouses/blouses/a-line-cotton-blouse_27044044,https://shop.mango.com/in/en/p/women/shirts---blouses/blouses/a-line-cotton-blouse_27044044,A-line cotton blouse - Women | MANGO USA,,59.99,,,,False,3290.0,,35.26,,,,False,24.73,Composition: 100% cotton | Lining: 100% cotton,"China
Dye",text=DETAILS,,text=DETAILS,,2026-04-01T23:58:44.161139-04:00,2026-04-02T03:58:44.161185+00:00,93.30922,2026-04-02T03:57:00+00:00
27047783,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/basics/top-with-straps-and-buttons_27047783,https://shop.mango.com/in/en/p/women/tops/basics/top-with-straps-and-buttons_27047783,Top with straps and buttons - Women | MANGO USA,,59.99,,,,False,3490.0,,37.4,,,,False,22.59,"Composition: 69% viscose, 31% polyamide","Cambodia
Dye",text=DETAILS,,text=DETAILS,,2026-04-01T23:59:25.673111-04:00,2026-04-02T03:59:25.673253+00:00,93.31665,2026-04-02T03:58:00+00:00
27051274,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/shirts---blouses/long-sleeve/satin-finish-flowy-shirt_27051274,https://shop.mango.com/in/en/p/women/shirts---blouses/shirts/satin-finish-flowy-shirt_27051274?c=52,Satin finish flowy shirt - Women | MANGO USA,,59.99,,,,False,3290.0,,35.26,,,,False,24.73,Composition: 100% polyester,"Vietnam
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T00:02:15.211644-04:00,2026-04-02T04:02:15.211684+00:00,93.29807,2026-04-02T04:00:00+00:00
27061263,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/knitwear/turtleneck-knit-top_27061263,https://shop.mango.com/in/en/p/women/tops/knitwear/turtleneck-knit-top_27061263,Turtleneck knit top - Women | MANGO USA,,39.99,59.99,-33,33.34,True,3290.0,,35.27,,,,False,4.72,"Composition: 42% polyester, 36% acrylic, 22% polyamide","China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T00:03:38.214885-04:00,2026-04-02T04:03:38.214930+00:00,93.26786,2026-04-02T04:02:00+00:00
27073296,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/shirts---blouses/long-sleeve/denim-shirt-with-seams_27073296,https://shop.mango.com/in/en/p/women/shirts---blouses/long-sleeve/denim-shirt-with-seams_27073296,Denim shirt with seams - Women | MANGO USA,,69.99,,,,False,3990.0,,42.8,,,,False,27.19,"Composition: 88% cotton, 10% elastomultiester, 2% elastane","Bangladesh
CARE

Machine washing max",text=DETAILS,,text=DETAILS,,2026-04-02T00:07:22.087249-04:00,2026-04-02T04:07:22.087286+00:00,93.22831,2026-04-02T04:06:00+00:00
27073300,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/basics/draped-neck-satin-top_27073300,https://shop.mango.com/in/en/p/women/tops/basics/draped-neck-satin-top_27073300,Draped neck satin top - Women | MANGO USA,,59.99,,,,False,3290.0,,35.29,,,,False,24.7,"Composition: 82% viscose, 18% polyamide","Cambodia
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T00:08:05.673898-04:00,2026-04-02T04:08:05.673922+00:00,93.22831,2026-04-02T04:06:00+00:00
27073341,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/basics/fitted-denim-body_27073341,https://shop.mango.com/in/en/p/women/tops/basics/fitted-denim-body_27073341,Fitted denim body - Women | MANGO USA,,89.99,,,,False,4990.0,,53.54,,,,False,36.45,"Composition: 99% cotton, 1% elastane","Designed in Barcelona
Manufacture",text=DETAILS,,text=DETAILS,,2026-04-02T00:08:48.268048-04:00,2026-04-02T04:08:48.268084+00:00,93.20379,2026-04-02T04:07:00+00:00
27075825,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/basics/strapless-denim-top_27075825,https://shop.mango.com/in/en/p/women/tops/basics/strapless-denim-top_27075825,Strapless denim top - Women | MANGO USA,,69.99,,,,False,3990.0,,42.8,,,,False,27.19,100% linen crop top | Composition: 100% cotton,"Bangladesh
CARE

Machine washing max",text=DETAILS,,text=DETAILS,,2026-04-02T00:10:12.713289-04:00,2026-04-02T04:10:12.713328+00:00,93.22861,2026-04-02T04:08:00+00:00
27075841,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/basics/asymmetrical-fitted-top_27075841,https://shop.mango.com/in/en/p/women/tops/basics/asymmetrical-fitted-top_27075841,Asymmetrical fitted top - Women | MANGO USA,,45.99,,,,False,2590.0,,27.78,,,,False,18.21,"Composition: 95% polyester, 5% elastane","Morocco
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T00:10:55.524754-04:00,2026-04-02T04:10:55.526124+00:00,93.2354,2026-04-02T04:09:00+00:00
27081326,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/basics/lace-top_27081326,https://shop.mango.com/in/en/p/women/tops/basics/lace-top_27081326,Lace top - Women | MANGO USA,,89.99,,,,False,4990.0,,53.51,,,,False,36.48,Composition: 100% viscose | Lace edging: 100% polyamide,"China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T00:14:23.548377-04:00,2026-04-02T04:14:23.548400+00:00,93.24992,2026-04-02T04:13:00+00:00
27087139,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/shirts---blouses/blouses/denim-blouse-with-pockets_27087139,https://shop.mango.com/in/en/p/women/shirts---blouses/blouses/denim-blouse-with-pockets_27087139,Denim blouse with pockets - Women | MANGO USA,,69.99,,,,False,3990.0,,42.78,,,,False,27.21,Composition: 100% cotton,"Bangladesh
CARE

Machine washing max",text=DETAILS,,text=DETAILS,,2026-04-02T00:17:10.525549-04:00,2026-04-02T04:17:10.525592+00:00,93.2647,2026-04-02T04:15:00+00:00
27092537,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/basics/fitted-suit-top_27092537,https://shop.mango.com/in/en/p/women/tops/basics/fitted-suit-top_27092537,Fitted suit top - Women | MANGO USA,,69.99,,,,False,3990.0,,42.8,,,,False,27.19,"Composition: 37% viscose, 32% cotton, 31% linen | Lining: 100% cotton","China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T00:20:41.683954-04:00,2026-04-02T04:20:41.683992+00:00,93.23003,2026-04-02T04:19:00+00:00
27093270,Women,comparison_tops,Women_tops,https://shop.mango.com/us/en/p/women/tops/basics/denim-top-with-under-seam-detail_27093270,https://shop.mango.com/in/en/p/women/tops/basics/denim-top-with-seam-detail_27093270,Denim top with under seam detail - Women | MANGO USA,,59.99,,,,False,3290.0,,35.29,,,,False,24.7,100% linen crop top | Composition: 100% cotton,"India
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T00:21:23.783920-04:00,2026-04-02T04:21:23.783951+00:00,93.22387,2026-04-02T04:20:00+00:00
