Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,Source File
20110242,RED ZARA TEMPTATION EDP 80ML (2.71 FL. OZ) | ZARA United States,GENERAL,,15.9,69.9,,True,1050.0,11.22,950.0,,,False,4.68,,,2026-03-22,93.62,March22_120AM
20110829,RED ZARA TEMPTATION ELIXIR PARFUM 80ML (2.7 FL. OZ). | ZARA United States,GENERAL,,49.9,62.38,,True,2550.0,27.24,3187.5,,20.0,True,22.66,,Spain,2026-03-22,93.62,March22_120AM
20110359,RED ZARA TEMPTATION SUMMER EDP 80ML (2.71 FL. OZ). | ZARA United States,GENERAL,,39.9,49.88,,True,2050.0,21.9,2562.5,,20.0,True,18.0,,,2026-03-22,93.62,March22_120AM
5755037,KNIT POLO JACKET WITH INTERIOR TOP - Beige | ZARA United States,GENERAL,Beige,49.9,,56.0,True,2950.0,31.51,,56.0,,True,18.39,"Composition: 56% acrylic, 36% cotton, 8% polyamide | 36% cotton | 36% RCS-certified recycled cotton",China,2026-03-22,93.62,comparison_knitwear
4331003,POINTELLE KNIT CROP TOP - Ecru | ZARA United States,GENERAL,Ecru,45.9,,60.0,True,2350.0,25.1,,60.0,,True,20.8,"Composition: 60% polyester, 40% cotton | 60% polyester | 40% cotton",Turkey,2026-03-22,93.62,comparison_knitwear
6427003,POINTELLE CARDIGAN - Ecru | ZARA United States,GENERAL,Ecru,49.9,,51.0,True,2550.0,27.24,,51.0,,True,22.66,"Composition: 51% polyester, 49% cotton, 0% viscose | 51% polyester | 49% cotton | 51% RCS-certified recycled polyester | 49% RCS-certified recycled cotton",Turkey,2026-03-22,93.62,comparison_knitwear
6236028,POINTELLE KNIT TOP - Ecru | ZARA United States,GENERAL,Ecru,49.9,,56.0,True,2950.0,31.51,,56.0,,True,18.39,56% polyester | 44% cotton | 100% cotton,Turkey,2026-03-22,93.62,comparison_knitwear
6427009,KNIT POLO SWEATER - Black | ZARA United States,GENERAL,Black,59.9,,100.0,True,2950.0,31.51,,100.0,,True,28.39,Composition: 100% polyester | 100% polyester | 100% RCS-certified recycled polyester,Turkey,2026-03-22,93.62,comparison_knitwear
9598021,POLKA DOT KNIT TOP - Brown / Ecru | ZARA United States,GENERAL,Brown / Ecru,49.9,,52.0,True,2550.0,27.24,,52.0,,True,22.66,"Composition: 52% polyester, 48% cellulose paste | 52% polyester | 52% RCS-certified recycled polyester",China,2026-03-22,93.62,comparison_knitwear
2142201,POINTELLE KNIT TOP - Black | ZARA United States,GENERAL,Black,45.9,,59.0,True,2350.0,25.1,,59.0,,True,20.8,"Composition: 59% polyester, 41% viscose | 59% polyester | 59% RCS-certified recycled polyester",China,2026-03-22,93.62,comparison_knitwear
